title,author,isbn,description,price,stock_quantity,category_id,cover_image_url,featured,bestseller,created_at,updated_at
The Art of French Baking,Paul Bocuse,978-0-7432-7356-5,Master the techniques of traditional French baking with step-by-step instructions and recipes from a legendary chef,34.99,50,0bcf8803-39c2-4b2f-b139-65a6d2c122c6,https://via.placeholder.com/300x400?text=French+Baking,true,true,2024-01-15 09:30:00,2024-01-15 09:30:00
Bread Basics,Peter Reinhart,978-1-58008-889-4,Learn to make artisan breads at home with foolproof methods and beautiful results,28.99,45,0bcf8803-39c2-4b2f-b139-65a6d2c122c6,https://via.placeholder.com/300x400?text=Bread+Basics,true,false,2024-01-15 10:15:00,2024-01-15 10:15:00
Plant-Based Protein Power,Meera Sodha,978-0-7432-7357-2,Delicious vegan recipes packed with protein to fuel your body and satisfy your taste buds,24.99,60,5a136dde-ebc9-4706-abe7-58c9f42c059d,https://via.placeholder.com/300x400?text=Plant+Protein,false,false,2024-01-15 11:00:00,2024-01-15 11:00:00
Quick and Easy Weeknight Dinners,Jamie Oliver,978-0-06-222955-8,30-minute meals that are nutritious and taste amazing for busy weeknights,29.99,70,02119dfb-65ff-4613-a59b-28c62ae9cb04,https://via.placeholder.com/300x400?text=Quick+Dinners,true,true,2024-01-15 11:45:00,2024-01-15 11:45:00
Mastering the Art of Cooking,Julia Child,978-0-375-10932-1,The comprehensive guide to French cuisine techniques and classic recipes,45.99,30,4245307e-d48a-435b-9db1-7d46c0a7e51b,https://via.placeholder.com/300x400?text=Cooking+Techniques,true,true,2024-01-15 12:30:00,2024-01-15 12:30:00
Chocolate Decadence,Jacques Torres,978-0-374-12389-6,Rich chocolate desserts and confections for the chocolate lover,32.99,40,e91562ec-e107-4f95-9c98-16ebdcd81ddb,https://via.placeholder.com/300x400?text=Chocolate+Decadence,false,true,2024-01-15 13:15:00,2024-01-15 13:15:00
Thai Street Food,David Thompson,978-1-78472-014-2,Authentic recipes and techniques from Thailand's vibrant street food culture,31.99,35,fb29cc43-fecd-461e-add5-f835b29b4e78,https://via.placeholder.com/300x400?text=Thai+Street+Food,false,false,2024-01-15 14:00:00,2024-01-15 14:00:00
Italian Pasta from Scratch,Marcella Hazan,978-0-394-58440-1,Classic Italian pasta recipes and techniques for making fresh pasta at home,27.99,55,fb29cc43-fecd-461e-add5-f835b29b4e78,https://via.placeholder.com/300x400?text=Italian+Pasta,true,false,2024-01-15 14:45:00,2024-01-15 14:45:00
Vegan Baking,Celine Steen,978-1-56924-289-0,Delicious plant-based baked goods without eggs or dairy,26.99,50,5a136dde-ebc9-4706-abe7-58c9f42c059d,https://via.placeholder.com/300x400?text=Vegan+Baking,false,false,2024-01-15 15:30:00,2024-01-15 15:30:00
No-Knead Bread,Jim Lahey,978-0-393-06590-2,The revolutionary method for making crusty artisan bread at home without a mixer,23.99,65,0bcf8803-39c2-4b2f-b139-65a6d2c122c6,https://via.placeholder.com/300x400?text=No-Knead+Bread,false,false,2024-01-15 16:15:00,2024-01-15 16:15:00
